,index,X,Y,subreg,hostility_d,victim_d,description,hostilitytype_l,victim_l,navarea,year,month,day
4921,4935,71.7166666997733,8.16666670010136,63,pirates,merchant vessel,southen arabian sea:  merchant vessel attacked in 08-10n  071-43e on 05 dec at 0714z. vessels passing within 100 miles are advised to exercise extreme caution.,pirate_assaults,merchant_vessel,viii,2010,12,05
4922,4936,-64.69999999985839,10.266666699899499,24,pirates,tanker,venezuela:  tanker robbed 27 nov at 0800 local time while at anchor in position 10-16n  064-42w in puerto la cruz. six robbers in a small craft boarded the tanker at anchor and broke the forward store's padlock. duty watch raised alarm and crew rushed to the forward deck. the robbers escaped with the stolen stores. port control was informed.,pirate_assaults,tanker,iv,2010,11,27
4923,4937,-13.7833332998441,9.366666699600561,51,pirates,bulk carrier,guinea:  bulk carrier robbed 28 nov at 0330z while at anchor in position 09-22n  013-47w in conarky. six robbers armed with machine guns boarded an anchored bulk carrier. officer raised alarm and tried to contact port control without any success. the robbers entered bridge and accommodation and stole ship's cash and equipment. all crew safe.,pirate_assaults,cargo_ship,ii,2010,11,28
4924,4938,67.4333332996167,16.9666667000262,63,pirates,chemical tanker,"indian ocean:  chemical tanker (iver exact) fired upon 29 nov at 0240z while underway in position 16-58n  067-26e, approximately 775 miles northeast of socotra island. five armed pirates in a skiff chased and fired upon a chemical tanker underway. master raised alarm, increased speed, took evasive maneuvers and instructed all crew except the bridge team to take shelter in the citadel. the pirates attempted to board the tanker several times and finally they managed to hang a ladder on the razor wire around the main deck. a pirate attempted to climb onboard, but was unsuccessful due to aggressive maneuvers. later, the skiff aborted the attempt and was seen heading back toward a mothership. (imb)",pirate_assaults,tanker,viii,2010,11,29
4925,4939,64.8500000001493,0.650000000411296,63,pirates,tanker,"indian ocean:  tanker (d&k i) fired upon 27 nov at 0700z while underway in position 00-39n  064-51e, approximately 620 miles northeast of the seychelles. a tanker underway noticed a mother vessel launching skiffs, which started approaching the tanker. the pirates were armed with guns and rpgs. the tanker increased speed, took counter-piracy measures, contacted authorities, and activated sas. as the skiffs approached the vessel thety opened fire. the pirates aborted the attack. (imb)",pirate_assaults,tanker,viii,2010,11,27
4926,4940,68.01666669974361,14.8666667002281,63,pirates,tanker,"indian ocean:  tanker (guru gobind singh) fired on 25 nov at 1800 local time while underway in position 14-52n  068-01e, approximately 810 miles northeast of socotra island. seven pirates in a skiff chased and fired upon a tanker underway. master enforced counter-piracy measures and evaded the boarding. (imb)",pirate_assaults,tanker,viii,2010,11,25
4927,4941,62.9333332999209,19.7833332998295,62,pirates,tanker,"indian ocean:  tanker (hadi) fired upon 25 nov at 1439z while underway in position 19-47n  062-56e, approximately 234 miles east of masirah, oman. tanker fired on by pirates in a skiff with guns and rpgs. vessel increased speed, sent alert, took evasive maneuvers and evaded attempt. no damage was reported. (imb)",pirate_assaults,tanker,ix,2010,11,25
4928,4942,56.299999999558004,13.133333299569399,62,pirates,merchant vessels,"gulf of aden:  pirate activity observed at 1005z on 09 april in position 13-08n  056-18e. at 1506z, approximately 120 miles northeast of socortra island, yemen. this area will remain high risk for at least the next 24-48 hours.",pirate_assaults,merchant_vessel,ix,2011,04,09
4929,4943,57.4500000000898,18.416666699758398,62,pirates,cargo ship,"arabian sea:  general cargo ship (susan k) was hijacked 08 april at 0234 utc while underway in position 18-25n  057-27e, approximately 274nm southwest of sur, oman. about ten pirates boarded the cargo ship with weapons. the ten crew members and master went  into the citadel, but pirates entered the citadel and took the crew members hostage.(imb,  ukmto)",pirate_assaults,cargo_ship,ix,2011,04,08
4930,4944,45.133333299705,12.0333332998036,62,pirates,chemical tanker,gulf of aden:  while underway a chemical tanker noticed one white and one blue skiff heading towards the vessel. four persons were seen in the white skiff and five persons in the blue skiff. crew alerted and armed security guards made themselves on the bridge wings. the skiffs approached to around 500 meters and the security team fired warning shots resulting in the skiffs moving away. the skiffs continued to follow the vessel for around 15 minutes before finally moving away.,pirate_assaults,tanker,ix,2011,04,10
4931,4945,104.825000000161,3.3783333001217697,93,pirates,chemical tanker,"50 miles southeast of pulau mangkai, south china sea:  duty crew onboard a chemical tanker underway noticed a suspicious speed boat doing 6 to 7 knots at a distance of six miles. master raised alarm, sounded horn, increased speed, crew mustered and switched on all deck lights. the suspicious boat came close to a distance of 2.4 miles from the tanker and then moved away.",pirate_assaults,tanker,xi,2011,04,11
4932,4946,43.63333330010611,12.516666700197101,62,pirates,passenger ship,gulf of aden:  a passenger ship underway noticed a group of about 20 skiffs near the port bow at a distance of  three miles. five skiffs were seen to break out from this group and head towards the vessel. at a distance of around 600 to 700 meters the armed security team noticed around five to seven pirates armed with rpgs and guns were seen in each skiff and instructed all crew members to stay inside the ship. as the skiffs approached closer the security team fired warning shots and the skiffs morved away. at the same time three more skiffs approached the vessel from the stbd side at a distance of 800 meters. the security team noticed arms onboard these skiffs and fired warning shots when the skiffs cloesed to a distance of 600 to 300 meters. the pirates aborted the attempted attack and moved away. master informed a warship in the vicinity and all ships in the area via vhf.,pirate_assaults,passenger_ship,ix,2011,04,11
4933,4947,49.9333333003998,13.6666666998295,62,pirates,tanker,"gulf of aden:  oil products tanker (saint ram) was fired upon by one skiff 12 april at 1218 utc while underway in position 13-40n  049-56e, approximately 70nm southeast of al mukalla, yemen. the vessel was fired upon by one skiff containing six pirates with rpgs and guns. the armed security team onboard exchanged fire with the skiff, and the  skiff then aborted the attack. (imb, ukmto, commercial sources)",pirate_assaults,tanker,ix,2011,04,12
4934,4948,42.6000000001042,14.366666699762302,62,pirates,bulk carrier,"southern red sea:  about five pirates in a skiff approached a bulk carrier underway. all crew went into citadel while bridge team increased speed, enforced anti piracy measures and contacted authorities. later the skiff aborted the attempt and moved away.",pirate_assaults,cargo_ship,ix,2011,04,12
4935,4949,2.0833333002463,5.26666669973775,57,pirates,chemical tanker,"around 67 miles off cotonou, benin:  ten armed robers boarded a chemical tanker at anchor. the vessel sent an ssas alert. the piracy reporting center cotacted the authorities and requested assistance for the crew and vessel. further information indicated that the robers left the vessel on 14 april after stealing crew and ship property. all crew safe.",pirate_assaults,tanker,ii,2011,04,13
4936,4950,8.36861110034539,4.6499999996413495,57,pirates,supply ship,"gulf of guinea:  a supply ship was attacked 11 april at 1100z while in position 04-39n  008-22.12e, approximately 82 miles souteast of port harcourt, nigeria. the vessel was attacked by 12 armed men in a speedboat. the captain of the vessel was taken hostage. (commercial sources)",pirate_assaults,cargo_ship,ii,2011,04,11
4937,4951,42.3333332999741,14.0666666996626,62,pirates,merchant vessel,"southern red sea:  a merchant vessel reported suspicious approach at 0830z on 17 apr in position  14-04n  042-20e, approximately 84 miles from eritrea, eriterea. this area will remain a high risk for the next 24-48 hours.",pirate_assaults,merchant_vessel,ix,2011,04,17
4938,4952,101.49666670025101,1.69333330002684,71,pirates,tanker,"indonesia:  three robbers boarded a tanker 14 april at 1750 utc while anchored in position  01-41.6n  101-29.8e, in the dumai anchorage, indonesia. the robbers entered the  engine room through the steering gear room entrance after breaking the padlock. the third  engineer was threatened by one of the robbers with a knife and pushed to the corner of the store room. the oiler on duty raised the alarm after spotting the robbers and the robbers escaped. (imb)",pirate_assaults,tanker,xi,2011,04,15
4939,4953,58.9166666997191,12.9666666998968,62,pirates,container ship,"arabian sea:  container vessel (hanjin tianjin) was boarded 20 april at 2049 utc while underway in position 12-58n  058-55e, approximately 262nm northeast of socotra island, yemen. (commercial sources, operator)",pirate_assaults,cargo_ship,ix,2011,04,20
4940,4954,101.45277780041701,1.7055555999178897,71,pirates,chemical tanker,"indonesia:  one robber boarded a chemical tanker 18 april at 1955 utc while anchored in position  01-42.33n  101-27.16e, in the dumai inner anchorage, indonesia. six to seven robbers in a wooden boat approached the vessel. one robber boarded the vessel, but escaped after the duty deck crew noticed him onboard and the alarm was raised. (imb)",pirate_assaults,tanker,xi,2011,04,18
4941,4955,51.8633332995719,14.113333300374501,62,pirates,vehicle carrier,"gulf of aden:   vehicle carrier reported suspicious approach 06 apr 10 at 0840 utc while underway in position 14-06.8n  051-51.8e, approximately 160nm southeast of al mukalla, yemen. armed men in skiffs began initial approaches to the vessel, but never got within boarding range as the vessel master employed counter-piracy measures and the skiffs aborted the chase (imb).",pirate_assaults,cargo_ship,ix,2010,04,06
4942,4956,-77.19166670022649,-12.0333333000123,22,pirates,container ship,"callao anchorage, peru:  four masked robbers armed with long knives were seen on forecastle of a container ship. alarm raised and crew mustered on bridge and all access to accommodation locked. attempts to contact the authorities for assistance was futile. owers cso contacted imb prc for assistance. central relayed message to authorities requesting assistance. later, robbers escaped with stolen ship's stores.",pirate_assaults,cargo_ship,xvi,2010,04,05
4943,4957,55.636666699649,13.6366667000894,62,pirates,container ship,"indian ocean:   container ship (hamburg bridge) fired upon 5 apr 10 at 1205 utc while underway in position 13-38.2n  055-38.2e, approximately 90nm northeast of socotra island. armed men in skiffs chased and fired upon the vessel, using automatic weapons and rpgs. the vessel increased speed and conducted evasive maneuvers to escape (imb, mschoa).",pirate_assaults,cargo_ship,ix,2010,04,05
4944,4958,60.3499999995541,12.38333329977,63,pirates,container ship,"indian ocean:   container ship (taipan) boarded 5 apr 10 at 0749 utc while underway in position 12-23n  060-21e, approximately 340nm east of socotra island. armed men in two skiffs boarded the vessel underway. the crew locked themselves in a bulletproof safe room and contacted authorities for assistance. the dutch frigate tromp arrived on scene  and dispatched a helicopter to board the vessel. the marines rescued the crew and detained the attackers. no one was injured (imb, ap).",pirate_assaults,cargo_ship,ix,2010,04,05
4945,4959,56.700000000290395,17.4499999996956,62,pirates,cargo ship,"20 miles east of khuriya muriya, oman:  pirates attacked and hijacked a refrigerated cargo ship underway and took hostage 21 crew members.",pirate_assaults,cargo_ship,ix,2010,03,23
4946,4960,59.0166667003519,18.3499999999945,62,pirates,chemical tanker,"indian ocean:   chemical tanker (rising sun) reported attempted boarding 5 apr 10 at 0313 utc while underway in position 18-21n  059-01e, approximately 110nm south of masirah island, oman. the master reported being chased by three skiffs. a distress message was sent requesting help. two skiffs came close to the tanker and the men placed a ladder on the  vessel's side to board. due to evasive maneuvers conducted by the crew, the men failed to board the vessel. a warship arrived in the vicinity to provide assistance. no injury to the crew was reported but the vessel sustained rpg damage (imb, lm: virginian-pilot). vessel.",pirate_assaults,tanker,ix,2010,04,05
4947,4961,44.5033332997655,-9.405000000035269,61,pirates,container ship,"indian ocean:   container ship fired upon 4 apr 10 at 1340 utc while underway in position 09-24.3s  044-30.2e, approximately 340nm southeast of dar es salaam, tanzania. men in a skiff armed with rpgs and automatic weapons chased and fired upon the vessel. the  vessel increased speed and conducted evasive maneuvers to evade the attack (imb).",pirate_assaults,cargo_ship,viii,2010,04,04
4948,4962,64.9999999997494,8.34999999967107,63,pirates,tanker,"indian ocean:   tanker (samho dream) hijacked 4 apr 10 at 0740 utc while underway in position 08-21n  065-00e, approximately 900nm east of eyl, somalia. pirates in skiffs boarded and hijacked the vessel. the vessel and 24 crewmembers have been taken to an  undisclosed location off somalia (imb, ap).",pirate_assaults,tanker,viii,2010,04,04
4949,4963,120.688333300021,4.17166670022846,72,pirates,chemical tanker,"philippines:   chemical tanker reported suspicious approach 4 apr 10 at 0215 utc while underway in position 04-10.3n  120-41.3e, south of tawi tawi, celebes sea. vessel reported being chased by skiffs for 30 minutes. evasive maneuvers were conducted and the  vessel continued its transit (imb).",pirate_assaults,tanker,xi,2010,04,04
4950,4964,51.085000000059395,13.8616666999393,62,pirates,chemical tanker,"gulf of aden:   tanker (torm ragnhild) fired upon 3 apr 10 at 0539 utc while underway in position 13-51.7n  051-05.1e, approximately 120nm southeast of al mukalla, yemen. men armed with rpgs and automatic weapons chased and opened fire on the vessel. the vessel enforced counter-piracy measures, conducted evasive maneuvers, and sent out a  distress call. the imb prc relayed the request to authorities. a military aircraft arrived on  location and circled the tanker, forcing the attackers to abort the attempt (imb, afp).",pirate_assaults,tanker,ix,2010,04,03
4951,4965,57.4449999998334,13.574999999682698,62,pirates,container ship,"arabian sea:   container ship fired upon 8 apr 10 at 0622 utc while underway in position  13-34.5n  057-26.7e, approximately 185nm northeast of socotra island. the captain  initially reported a suspicious approach by one skiff with three persons onboard at 0430.  the skiff continued to pursue and then opened fire on the vessel at 0622. vessel increased speed to 22 knots and activated fire hoses before the skiff finally abandoned the attack (mercury chat, imb).",pirate_assaults,cargo_ship,ix,2010,04,08
4952,4966,43.8666667002666,-4.9833332999192,61,pirates,bulk carrier,"indian ocean:   bulk carrier (yasin c) hijacked 7 apr 10 at 1243 utc while underway in position  04-59s  043-52e, approximately 260nm east of mombasa, kenya. pirates boarded and hijacked the vessel with its 25 crewmembers and have sailed it to an undisclosed location (imb, mschoa).",pirate_assaults,cargo_ship,viii,2010,04,07
4953,4967,46.1166666996649,-11.099999999743801,61,pirates,container ship,"indian ocean:   container ship (westermoor) fired upon 2 apr 10 at 1100 utc while underway in position 11-06s  046-07e, approximately 160nm northeast of comoros. two skiffs with armed men onboard chased and opened fire with rpgs and automatic weapons. vessel conducted evasive maneuvers and successfully escaped (imb, eunavfor).",pirate_assaults,cargo_ship,vii,2010,04,02
4954,4968,116.38333330043501,-3.21666670001503,72,pirates,merchant ship,"tanjung pemancingan anchorage, indonesia:  while at anchor, alarm for forecastle watertight doors was activated indicating that they had been opened. investigation carried out revealed forecastle store door was broke open and ship's stores ad properties stolen. the whole incident was unnoticed.",pirate_assaults,merchant_vessel,xi,2010,08,31
4955,4969,13.031666699633698,-5.873333299705171,57,pirates,tanker,"democratic republic of the congo:  product tanker robber 31 aug 10 at 0110 utc while at anchorage in position  05-52.4s  013-01.9e, approximately 2nm west of boma. three robbers armed with knives boarded a product tanker at anchor. they stole ship's stores and escaped.  (imb)",pirate_assaults,tanker,ii,2010,08,31
4956,4970,105.35999999972401,3.06333330015207,71,pirates,tanker,"south china sea:   tanker robbed 30 aug 10 at 2330 utc at position 03-03.8n  105-21.6e, approximately 12nm northwest of pulau mangkai, indonesia. six robbers armed with guns and long knives boarded a tanker underway. they entered the bridge and took the crew hostage. one robber remained on the bridge to guard the duty officer. the others took the  other crewmember to the captain's cabin and stole ship's cash and other items. the robbers also ransacked the chief engineer's cabin. the deck duty watch noticed the pirate's craft and raised the alarm. all crew mustered with weapons. the robbers tied the chief engineer to the guardrail, and escaped. (imb)",pirate_assaults,tanker,xi,2010,08,30
4957,4971,105.20333329984001,2.99500000018588,71,pirates,bulk carrier,"south china sea:  bulk carrier (ideal bulker) robbed 30 aug 10 at 0254 utc at position  2-59.7n  105-12.2e, approximately 24nm southwest of pulau mangkai, indonesia. six pirates in a small craft boarded the vessel from the stern. the pirates, who were armed with long knives, took control of the bridge and tied up the bridge duty crew and counter-piracy watch with ropes. the pirates then forced the electric engineer to bring them to the master's cabin, where they attempted to enter the cabin. the master raised the alarm and escaped through the porthole. the crew was mustered and they approached the master's cabin. upon seeing the crew being alerted, the pirates escaped with two binoculars and two sets of walkie talkies from the bridge. the master suffered injuries while escaping through the porthole, and the electrical engineer suffered head injuries when the pirates assaulted him. the master reported the incident to the hong kong mrcc. recaap comment: incidents occurring in the vicinity of pulau mangkai tend to occur on consecutive days. ship masters operating in the area, especially in the next 72 hours, are advised to exercise vigilance and take necessary precautionary measures to avoid boarding by pirates. (recaap)",pirate_assaults,cargo_ship,xi,2010,08,30
4958,4972,-72.3533333003803,18.5549999997178,26,pirates,cargo ship,"haiti:   general cargo ship robbed 29 aug 10 at 0115 local time while in position  18-33.3n  072-21.2w, south finger pier, port au prince. crewmember spotted robbers on the aft deck and raised the alarm. the robbers jumped overboard and swam to a waiting boat and escaped. upon investigating, it was discovered that the robbers had broken into the paint locker and stolen ship's stores. (imb)",pirate_assaults,cargo_ship,iv,2010,08,29
4959,4973,-77.1447222000143,-12.047499999781198,22,pirates,cargo ship,"peru:   general cargo ship boarded 5 sep 10 at 0140 local time while anchored in position 12-01.7s  077-11.7w, callao anchorage. two robbers armed with long knives boarded  the vessel at anchor. the duty crew spotted them, raised the alarm, and the crew mustered. the robbers jumped overboard and escaped. (imb)",pirate_assaults,cargo_ship,xvi,2010,09,05
4960,4974,112.439999999557,6.12833329998591,71,pirates,container ship,"south china sea:   container ship reported suspicious approach 5 sep 10 at 1940 local time while underway in position 06-07.7n  112-26.4e, approximately 11nm north of friendship shoal reef. the master noticed two speed boats with four to five persons onboard approaching at high speed from both sides of the vessel. he switched on deck and over side lights, raised the alarm, mustered the crew, and conducted evasive maneuvering. upon seeing razor wire around the vessel, the men in the speed boats ended their pursuit. (imb)",pirate_assaults,cargo_ship,xi,2010,09,05
4961,4975,49.966666700194104,13.383333299802402,62,pirates,container ship,"gulf of aden:   container ship (magellan star) boarded 8 sep 10 at 0540 utc while underway in position 13-23n  049-58e, approximately 83nm southeast of al mukalla, yemen. armed pirates in a skiff boarded and attempted to hijack the vessel. the crew locked themselves in a safe room and requested assistance. the vessel was freed the following day  when us marines boarded the vessel and arrested the suspected pirates. (imb, lm: new york times)",pirate_assaults,cargo_ship,ix,2010,09,08
4962,4976,13.0499999997331,-5.86555560036902,57,pirates,merchant vessel,"democratic republic of the congo:   vessel robbed 4 sep 10 at 0130 local time while underway in position 05-51.9s  013-03e, 1nm southeast of boma anchorage. three robbers armed with long knives boarded the vessel. the duty officer noticed and raised the alarm, but the robbers managed to steal ship's stores and escape. (imb)",pirate_assaults,merchant_vessel,ii,2010,09,04
4963,4977,105.2866667004,3.2366666999329303,71,pirates,chemical tanker,"south china sea:   tanker robbed 5 sep 10 at 0305 local time while underway in position  03-14.2n  105-17.2e, approximately 19nm northwest of pulau mangkai, indonesia. four men armed with long knives boarded the vessel underway. they took the duty watch crew  hostage and proceeded to the master's cabin where they stole cash before escaping. a distress message was sent out by the vessel. (imb)",pirate_assaults,tanker,xi,2010,09,05
4964,4978,91.7500000003897,22.250000000390397,63,pirates,cargo ship,"chittagong anchorage, bangladesh:  about 25 robbers armed with knives approached a general cargo ship in two boats. while approaching and boarding the vessel they continuously threw stones on the ship's crews. the robbers stole ship's stores and escaped. master reported to port control and coast guard who indicated that help would be sent however no help arrived.",pirate_assaults,cargo_ship,viii,2010,09,04
4965,4979,68.4500000004456,5.63333329977655,63,pirates,container ship,"indian ocean:  container ship (albedo) hijacked 25 nov at 0300z while underway in position 05-38n  068-27e, approxiately 1140 miles east of garacad, somalia. albedo reported the hijacked ship polar chasing and acting as a mothership. (imb)",pirate_assaults,cargo_ship,viii,2010,11,26
4966,4980,-77.199999999813,12.0333332998036,26,pirates,container ship,"peru:  container ship robbed 3 dec 10 at 2355 local time while at anchor in position  12-02n  077-12w, in callao anchorage. four robbers wearing diving suits armed with guns  and knives boarded an anchored container ship. they threatened the forward duty crew and tied him up. they broke the forward store's padlock and stole ship's stores. upon seeing another watchman approaching, the robbers escaped with the ship's stores and property and the duty crew's personal belongings. coast guard was informed.  (imb)",pirate_assaults,cargo_ship,iv,2010,12,03
4967,4981,71.9166667001395,8.20000000007093,63,pirates,bulk cargo ship,"indian ocean:  a bulk cargo ship (jahan moni) was hijacked 5 dec at 1126 utc while underway in position 08-12n  071-55e, approximately 540nm west of sri lanka. at 0942 utc, master reported two skiffs were approaching and that one attempted to board the merchant vessel. one pirate fell off the ladder while trying to board, and the skiffs departed the  area. at 1126, the master reported that the two skiffs had returned and that six armed pirates successfully boarded the vessel. all 26 crewmembers were taken hostage. this hijacking is the farthest east recorded. (imb, ukmto)",pirate_assaults,cargo_ship,viii,2010,12,05
4968,4982,107.066666699972,10.2333333001052,93,pirates,container ship,"vietnam:  container ship robbed 8 dec 10 at 1705 utc while at anchorage in position  10-14n  107-04e, in vung tau anchorage. duty watch onboard anchored container vessel  noticed four robbers on the forecastle. duty officer informed, alarm raised, and crew mustered. seeing crew alertness, the robbers escaped in two waiting boats. upon investigation, it was discovered they had broken into the paint store and stole ship's stores before escaping.  (imb)",pirate_assaults,cargo_ship,xi,2010,12,08
4969,4983,62.7666667002483,20.849999999625698,62,pirates,merchant vessel,arabian sea:  merchant vessel attacked in 20-51n  062-46e  at 101504z dec. vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,pirate_assaults,merchant_vessel,ix,2010,12,10
4970,4984,67.41666670044371,6.1833333001090995,63,pirates,merchant vessel,southern arabian sea:  merchant vessel attacked in 06-11n  067-25e at 110542z dec. vessels passing within 100 miles are advised to exercise extreme caution.,pirate_assaults,merchant_vessel,viii,2010,12,11
4971,4985,42.0833332997412,-7.55000000021363,61,pirates,merchant vessels,western indian ocean:  piracy action group reported in 07-33s  042-05e at 111030z dec. vessels passing within 100 miles are advised to exercise extreme caution.,pirate_assaults,merchant_vessel,viii,2010,12,11
4972,4986,54.7166667001229,-13.246666700078599,61,pirates,merchant vessels,western indian ocean:  pirate activity in 13-14.8s  054-43.0e on 13 dec. the area involved should be avoided if possible. this area will remain high risk for at least 24-48 hours. caution advised.,pirate_assaults,merchant_vessel,vii,2010,12,13
4973,4987,48.4833332997683,13.150000000365901,62,pirates,merchant vessel,gulf of aden:  merchant vessel attacked in 13-09n  048-29e at 131000z dec. vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,pirate_assaults,merchant_vessel,ix,2010,12,13
4974,4988,41.800000000438,-9.9333333002142,61,pirates,merchant vessel,"indian ocean:  a merchant vessel noted being attacked by two skiffs at 1233z on 10 dec in position 09-56s  041-48e, approximately 123 miles northeast of comoros. this area will remain high risk for the next 24-48 hours.",pirate_assaults,merchant_vessel,viii,2010,12,10
4975,4989,62.7333332995547,21.0833332999614,62,pirates,merchant vessel,"arabian sea:  a merchant vessel noted being attacked by two skifffs at 1550z on 10 dec in position 21-05n  062-44e approximately 200 miles southeast of sur, oman. this area will remain high risk for the next 24-48 hours.",pirate_assaults,merchant_vessel,ix,2010,12,10
4976,4990,39.9666666998707,-5.466666700312659,61,pirates,product tanker,"10 miles off pemba island, tanzania:  a product tanker underway spotted two skiffs at a distance of 6.5 miles approaching her at high speed. the tanker increased speed raised alarm and instructed all crew to muster in a safe room except bridge crew and security team. warship in vicinity informed. at a range of 3.5 miles, the speed boats opened fire at the tanker. when warship arrived at the location, the skiff aborted the attack ad returned to mother vessel.",pirate_assaults,tanker,viii,2010,12,13
4977,4991,41.7666666995692,-9.95000000011134,61,pirates,merchant vessel,western indian ocean:  merchant vessel attacked in 09-57s  041-46e at 101212z dec. vessels are advised to keep 100 miles clear of this position and to exercise extreme caution.,pirate_assaults,merchant_vessel,viii,2010,12,10
4978,4992,61.833333300155104,18.449999999727897,62,pirates,merchant vessel,western indian ocean:  merchant vessel attacked in 18-27n  061-50e at 140756z dec. vessels are advised to keep 100 miles clear of this position and to exercise extreme cautioin,pirate_assaults,merchant_vessel,ix,2010,12,14
4979,4993,60.383333300423004,12.1500000003335,63,pirates,bulk carrier,"indian ocean:  a bulk carrier (michalakis) was fired upon 15 dec 10 at 0215 utc while underway in position 12-09n  060-23e, approximately 350nm east of socotra island. two skiffs with four pirates armed with machine guns and rpg chased and fired upon a bulk carrier underway. vessel enforced counter piracy measures resulting in the pirates aborting  the attack. vessel sustained some damage. (imb, ukmto)",pirate_assaults,cargo_ship,ix,2010,12,15
4980,4994,106.986666700365,-5.5599999997625105,71,pirates,bulk carrier,"indonesia, jawa sea:  pirates in an unlit wooden boat attempted to board a bulk carrier underway equipped with razor wires as a defense. ship raised alarm and crew directed search lights towards the boat resulting in the pirates moving away.",pirate_assaults,cargo_ship,xi,2010,12,14
4981,4995,104.053333300207,1.25333329994066,71,pirates,barge,"singapore:  robbers boarded a barge 17 april at 2112 utc while underway in position  01-15.2n  104-03.2e, approximately seven nm southeast of changi, singapore. the singapore police coast guard (pcg) sighted a sampan alongside the vessel. the pcg spotted four to five men departing the barge on two sampans. four containers on the barge were broken into, and some items were missing. (recaap)",pirate_assaults,barge,xi,2011,04,17
4982,4996,49.7499999999308,13.500000000332301,62,pirates,merchant vessel,"gulf of aden:  a merchant vessel reported a suspicious approach at 1806z on april 18 in position  13-30n  049-45e, approximately 84 miles from al mukalla, yemen in the gulf of aden.",pirate_assaults,merchant_vessel,ix,2011,04,18
4983,4997,59.533333299990794,21.3166667001219,62,pirates,merchant vessel,"gulf of aden:  a merchant vessel reported suspicious approach at 0450z on 18 april in position  21-19n  059-32e, approximately 59 miles off masirah, oman in the gulf of aden.",pirate_assaults,merchant_vessel,ix,2011,04,18
4984,4998,59.10000000018821,13.2833333000689,62,pirates,bulk carrier,"arabian sea:  bulk carrier (rosalia d' amato) was hijacked 21 april at 0218z while underway in position 13-17n  059-06e, approximately 274 miles northeast of socotra, island, yemen. one skiff attacked the vessel. the pirates boarded and took the crew hostage. (commercial sources imb, ukmto)",pirate_assaults,cargo_ship,ix,2011,04,21
4985,4999,45.666666699965106,-6.95000000001431,61,pirates,chemical tanker,"indian ocean:  chemical tanker (atlantia) was fired upon by seven pirates in two skiffs (nfi) 24 april at 1800 utc while underway in position 06-57s  045-40e, approximately 381nm southeast of zanzibar, tanzania. the pirates failed to attach a boarding ladder to the vessel because the vessel engaged in evasive maneuvers. vessel experienced damage due to the attack.  (imb, ukmto)",pirate_assaults,tanker,viii,2011,04,24
4986,5000,47.7166666998965,-4.16333330012651,61,pirates,chemical tanker,"indian ocean:  oil products/chemical tanker (port union) was fired upon 24 april at 0300 utc while underway in position 04-09.8s  047-43.0e, approximately 484nm east of mombasa, kenya. pirates chased the vessel in two skiffs, one of which had five pirates in it, the other was unknown; and one pirate mothership. the armed guards onboard the port union fired four warning shots at the pirates from 0.5nm away; the pirates fired back and aborted the attack. (imb, operator, commercial sources)",pirate_assaults,tanker,viii,2011,04,24
4987,5001,51.60611110042849,15.183888899751198,62,pirates,tanker,"gulf of aden:  product tanker (rudeef gna) was fired upon 22 april at 2250 utc while underway in position 15-11.03 n  051-36.36e, approximately 148nm northeast of al mukalla, yemen. pirates opened fire upon the tanker about 5-11 yards away, the onboard security team fired back, and the pirates aborted their attack. (imb, ukmto, commercial sources)",pirate_assaults,tanker,ix,2011,04,22
4988,5002,105.26666670027399,3.1333333001453503,71,pirates,bulk carrier,"south china sea:  seven robers boarded a bulk carrier 24 april at 2010z while underway in position 03-08n  105-16e, approximately 45 miles northeast of the anambas islands, indonesia. the robbers boarded the bulk carrier from a wooden boat. they departed the vesssel from the stern with personal belongings and cash from the master's and second officer's cabins. (imb)",pirate_assaults,cargo_ship,xi,2011,04,24
4989,5003,105.28333330034599,2.94999999967632,71,pirates,cargo ship,"south china sea:  seven robbers boarded a general cargo vessel 25 april at 0055z while underway in position 02-57n  105-17e, approximately 43 miles southwest of the anambas islands, indonesia. the robbers took the officer of the watch and the duty able seaman hostage in the third officer's cabin. the robbers forced the two of them to take the robbers to the captain's cabin. the robbers ordered the captain to take them to the poop deck, where they departed the vessel with the ship's cash, property and personal effects. (imb)",pirate_assaults,cargo_ship,xi,2011,04,25
4990,5004,-58.083333299568004,6.78333330030836,24,pirates,fishing vessel,"caribbean sea:  a fishing vessel was robbed 21 april 2011 at 0100 utc while anchored off of montrose, guyana. four armed robbers boarded the vessel and stole various goods.  (commercial sources)",pirate_assaults,fishing_vessel,iv,2011,04,21
4991,5005,76.2699999995653,9.976944400163571,63,pirates,tanker,"indian ocean:  a tanker was robbed 22 april at 2130 utc while anchored off of kochi, india. the second officer noticed some movements on the forecastle deck. after the duty able seaman discovered three robbers, the second officer raised the alarm. after the alarm was raised, the robbers departed the vessel with the stolen stores. (imb)",pirate_assaults,tanker,viii,2011,04,22
4992,5006,60.4000000003201,13.2166667001298,63,pirates,container ship,345 miles east of socotra island:  armed pirates in a skiff chased a container ship underway. a mother ship was noticed in the vicinity. master increased speed and maneuvered away from the mother ship and skiff. master enforced anti-piracy measures and managed to out run the skiff. armed security team were onboard. no shots fired.,pirate_assaults,cargo_ship,ix,2011,04,24
